category,Opady w mm
1.5.2021,0
2.5.2021,0
3.5.2021,9.4
4.5.2021,0.5
5.5.2021,1
6.5.2021,4.6
7.5.2021,2.8
8.5.2021,2.8
9.5.2021,0.8
10.5.2021,0
11.5.2021,0
12.5.2021,0
13.5.2021,0
14.5.2021,7.1
16.5.2021,7.6
17.5.2021,1.5
18.5.2021,0
19.5.2021,1
20.5.2021,2.8
21.5.2021,0
22.5.2021,1.3
23.5.2021,6.1
24.5.2021,0
25.5.2021,3.1
26.5.2021,4.1
27.5.2021,0
28.5.2021,0
29.5.2021,0
30.5.2021,13.2
31.5.2021,0
