category,Wiatr w m/s
1.3.2022,1.7
2.3.2022,1.5
3.3.2022,2.5
4.3.2022,2.4
5.3.2022,1.8
6.3.2022,2
7.3.2022,2.8
8.3.2022,2.6
9.3.2022,1.7
10.3.2022,1.8
11.3.2022,1.4
12.3.2022,1.4
13.3.2022,2.4
14.3.2022,2.7
15.3.2022,1.9
16.3.2022,2.1
17.3.2022,2.6
18.3.2022,1.9
19.3.2022,1.3
20.3.2022,1.2
21.3.2022,0.8
22.3.2022,0.8
23.3.2022,1.9
24.3.2022,2.7
25.3.2022,2.3
26.3.2022,5.8
27.3.2022,4.1
28.3.2022,5.4
29.3.2022,2.8
30.3.2022,2.5
31.3.2022,2.6
