category,Wiatr w m/s
1.10.2022,1.3
2.10.2022,3.1
3.10.2022,5.1
4.10.2022,3.9
5.10.2022,2.5
6.10.2022,2.8
7.10.2022,2
8.10.2022,2.8
9.10.2022,2.6
10.10.2022,2.7
11.10.2022,2.1
12.10.2022,1.4
13.10.2022,2
14.10.2022,2.4
15.10.2022,2.5
16.10.2022,2.9
17.10.2022,2.1
18.10.2022,2.4
19.10.2022,3.5
20.10.2022,1.4
21.10.2022,2.6
22.10.2022,2.2
23.10.2022,2.5
24.10.2022,1.4
25.10.2022,2
26.10.2022,2.1
27.10.2022,1.2
28.10.2022,1.7
29.10.2022,3
30.10.2022,2.1
31.10.2022,1.3
