Data and time, pollution PM10 [ug/m3]
2020-09-22,37.4,
2020-09-23,39.5,
2020-09-24,41.8,
2020-09-25,31.4,
2020-09-26,32.4,
2020-09-27,11.7,
2020-09-28,12.1,
2020-09-29,15.5,
2020-09-30,28.5,
2020-10-01,70.6,
2020-10-02,16.3,
2020-10-03,17.9,
2020-10-04,17.7,
2020-10-05,17.4,
2020-10-06,14.9,
2020-10-07,25.5,
2020-10-08,35.4,
2020-10-09,24.7,
2020-10-10,26.1,
2020-10-11,14.2,
2020-10-12,16.4,
2020-10-13,6.3,
2020-10-14,6.1,
2020-10-15,20.3,
2020-10-16,21.0,
2020-10-17,17.4,
2020-10-18,14.5,
2020-10-19,19.3,
2020-10-20,25.0,
2020-10-21,23.7,
2020-10-22,32.7,
2020-10-23,39.2,
2020-10-24,27.9,
2020-10-25,23.0,
2020-10-26,27.8,
2020-10-27,31.1,
2020-10-28,36.9,
2020-10-29,27.7,
2020-10-30,31.8,
2020-10-31,50.2,
2020-11-01,-,
2020-11-02,-,
2020-11-03,27.2,
2020-11-04,24.2,
2020-11-05,21.8,
2020-11-06,16.7,
2020-11-07,17.9,
2020-11-08,25.8,
2020-11-09,26.7,
2020-11-10,17.3,
2020-11-11,22.9,
2020-11-12,17.4,
2020-11-13,29.9,
2020-11-14,47.5,
2020-11-15,38.7,
2020-11-16,25.9,
2020-11-17,38.2,
2020-11-18,31.1,
2020-11-19,20.3,
2020-11-20,18.8,
2020-11-21,23.2,
2020-11-22,18.8,
2020-11-23,19.6,
2020-11-24,19.7,
2020-11-25,42.8,
2020-11-26,40.3,
2020-11-27,27.2,
2020-11-28,14.7,
2020-11-29,17.4,
2020-11-30,23.2,
2020-12-01,33.0,
2020-12-02,21.3,
2020-12-03,21.4,
2020-12-04,17.4,
2020-12-05,18.4,
2020-12-06,11.9,
2020-12-07,16.1,
2020-12-08,20.7,
2020-12-09,26.3,
2020-12-10,22.6,
2020-12-11,24.6,
2020-12-12,17.9,
2020-12-13,20.8,
2020-12-14,16.3,
2020-12-15,20.2,
2020-12-16,35.8,
2020-12-17,32.8,
2020-12-18,43.9,
2020-12-19,39.3,
2020-12-20,27.6,
2020-12-21,30.2,
2020-12-22,27.0,
2020-12-23,26.1,
2020-12-24,17.6,
2020-12-25,8.3,
2020-12-26,17.1,
2020-12-27,20.6,
2020-12-28,16.3,
2020-12-29,14.4,
2020-12-30,27.1,
2020-12-31,24.5,
2021-01-01,26.9,
2021-01-02,42.4,
2021-01-03,44.7,
2021-01-04,31.2,
2021-01-05,14.7,
2021-01-06,27.2,
2021-01-07,30.5,
2021-01-08,39.2,
2021-01-09,46.5,
2021-01-10,30.3,
2021-01-11,37.8,
2021-01-12,43.6,
2021-01-13,31.9,
2021-01-14,39.5,
2021-01-15,29.1,
2021-01-16,33.1,
2021-01-17,43.7,
2021-01-18,125.1,
2021-01-19,105.9,
2021-01-20,52.5,
2021-01-21,41.4,
2021-01-22,42.9,
2021-01-23,31.7,
2021-01-24,39.9,
2021-01-25,29.5,
2021-01-26,24.0,
2021-01-27,21.2,
2021-01-28,27.7,
2021-01-29,27.1,
2021-01-30,34.6,
2021-01-31,36.6,
2021-02-01,70.6,
2021-02-02,41.1,
2021-02-03,46.5,
2021-02-04,17.5,
2021-02-05,56.2,
2021-02-06,63.7,
2021-02-07,18.5,
2021-02-08,19.8,
2021-02-09,50.1,
2021-02-10,100.7,
2021-02-11,42.9,
2021-02-12,18.7,
2021-02-13,16.4,
2021-02-14,12.1,
2021-02-15,23.0,
2021-02-16,35.1,
2021-02-17,65.6,
2021-02-18,48.6,
2021-02-19,48.6,
2021-02-20,47.6,
2021-02-21,52.8,
2021-02-22,66.5,
2021-02-23,87.0,
2021-02-24,76.9,
2021-02-25,81.5,
2021-02-26,49.5,
2021-02-27,11.1,
2021-02-28,18.8,
2021-03-01,18.3,
2021-03-02,29.8,
2021-03-03,41.0,
2021-03-04,43.0,
2021-03-05,22.4,
2021-03-06,18.0,
2021-03-07,16.4,
2021-03-08,8.8,
2021-03-09,31.2,
2021-03-10,51.8,
2021-03-11,46.9,
2021-03-12,22.6,
2021-03-13,18.8,
2021-03-14,9.8,
2021-03-15,36.5,
2021-03-16,40.8,
2021-03-17,18.8,
2021-03-18,19.2,
2021-03-19,33.9,
2021-03-20,17.0,
2021-03-21,23.8,
2021-03-22,14.5,
2021-03-23,32.5,
2021-03-24,41.2,
2021-03-25,47.6,
2021-03-26,56.8,
2021-03-27,47.8,
2021-03-28,29.5,
2021-03-29,31.4,
2021-03-30,31.4,
2021-03-31,33.4,
2021-04-01,39.3,
2021-04-02,12.7,
2021-04-03,9.0,
2021-04-04,10.0,
2021-04-05,15.5,
2021-04-06,18.4,
2021-04-07,18.7,
2021-04-08,16.7,
2021-04-09,19.8,
2021-04-10,29.9,
2021-04-11,20.8,
2021-04-12,33.6,
2021-04-13,12.5,
2021-04-14,10.4,
2021-04-15,15.2,
2021-04-16,19.9,
2021-04-17,36.6,
2021-04-18,19.5,
2021-04-19,24.6,
2021-04-20,24.4,
2021-04-21,26.6,
2021-04-22,21.3,
2021-04-23,13.5,
2021-04-24,24.1,
2021-04-25,11.6,
2021-04-26,19.8,
2021-04-27,24.7,
2021-04-28,32.5,
2021-04-29,28.7,
2021-04-30,22.3,
2021-05-01,21.6,
2021-05-02,12.0,
2021-05-03,6.3,
2021-05-04,15.2,
2021-05-05,13.4,
2021-05-06,11.2,
2021-05-07,17.4,
2021-05-08,11.1,
2021-05-09,13.5,
2021-05-10,15.8,
2021-05-11,21.1,
2021-05-12,21.9,
2021-05-13,12.9,
2021-05-14,17.6,
2021-05-15,19.9,
2021-05-16,13.8,
2021-05-17,14.8,
2021-05-18,17.1,
2021-05-19,8.6,
2021-05-20,9.4,
2021-05-21,13.7,
2021-05-22,7.7,
2021-05-23,6.6,
2021-05-24,8.0,
2021-05-25,12.3,
2021-05-26,9.8,
2021-05-27,10.8,
2021-05-28,18.2,
2021-05-29,10.8,
2021-05-30,9.2,
2021-05-31,15.1,
2021-06-01,19.8,
2021-06-02,18.9,
2021-06-03,20.9,
2021-06-04,23.3,
2021-06-05,16.9,
2021-06-06,16.7,
2021-06-07,18.3,
2021-06-08,21.2,
2021-06-09,15.2,
2021-06-10,13.1,
2021-06-11,13.7,
2021-06-12,12.3,
2021-06-13,10.6,
2021-06-14,7.7,
2021-06-15,17.3,
2021-06-16,18.4,
2021-06-17,18.3,
2021-06-18,22.1,
2021-06-19,20.6,
2021-06-20,21.1,
2021-06-21,25.1,
2021-06-22,28.1,
2021-06-23,24.5,
2021-06-24,20.9,
2021-06-25,13.2,
2021-06-26,12.8,
2021-06-27,10.7,
2021-06-28,12.1,
2021-06-29,20.0,
2021-06-30,25.0,
2021-07-01,16.5,
2021-07-02,12.6,
2021-07-03,13.9,
2021-07-04,14.3,
2021-07-05,13.8,
2021-07-06,32.1,
2021-07-07,29.5,
2021-07-08,28.5,
2021-07-09,33.5,
2021-07-10,18.2,
2021-07-11,18.5,
2021-07-12,27.6,
2021-07-13,24.1,
2021-07-14,41.1,
2021-07-15,30.5,
2021-07-16,28.4,
2021-07-17,28.3,
2021-07-18,25.2,
2021-07-19,23.9,
2021-07-20,16.0,
2021-07-21,16.6,
2021-07-22,13.3,
2021-07-23,24.7,
2021-07-24,31.2,
2021-07-25,30.7,
2021-07-26,27.7,
2021-07-27,25.4,
2021-07-28,21.8,
2021-07-29,15.7,
2021-07-30,21.4,
2021-07-31,22.7,
2021-08-01,16.2,
2021-08-02,11.6,
2021-08-03,12.7,
2021-08-04,14.7,
2021-08-05,16.2,
2021-08-06,4.3,
2021-08-07,10.9,
2021-08-08,14.2,
2021-08-09,13.1,
2021-08-10,14.9,
2021-08-11,12.2,
2021-08-12,11.8,
2021-08-13,19.0,
2021-08-14,27.3,
2021-08-15,23.5,
2021-08-16,19.1,
2021-08-17,12.9,
2021-08-18,15.1,
2021-08-19,12.6,
2021-08-20,13.4,
2021-08-21,11.1,
2021-08-22,10.9,
2021-08-23,12.4,
2021-08-24,10.1,
2021-08-25,12.4,
2021-08-26,19.5,
2021-08-27,20.8,
2021-08-28,12.2,
2021-08-29,19.0,
2021-08-30,15.8,
2021-08-31,12.4,
2021-09-01,8.0,
2021-09-02,10.1,
2021-09-03,12.9,
2021-09-04,14.4,
2021-09-05,14.3,
2021-09-06,17.9,
2021-09-07,23.2,
2021-09-08,36.9,
2021-09-09,32.0,
2021-09-10,37.4,
2021-09-11,35.9,
2021-09-12,26.1,
2021-09-13,20.0,
2021-09-14,17.4,
2021-09-15,21.7,
2021-09-16,30.7,
2021-09-17,18.9,
2021-09-18,4.4,
2021-09-19,6.9,
2021-09-20,7.1,
2021-09-21,12.3,
2021-09-22,11.1,
2021-09-23,20.3,
2021-09-24,15.2,
2021-09-25,17.6,
2021-09-26,18.9,
2021-09-27,10.1,
2021-09-28,12.0,
2021-09-29,32.7,
2021-09-30,27.9,
2021-10-01,22.5,
2021-10-02,22.9,
2021-10-03,25.2,
2021-10-04,24.3,
2021-10-05,40.3,
2021-10-06,38.6,
2021-10-07,44.3,
2021-10-08,28.0,
2021-10-09,46.3,
2021-10-10,43.8,
2021-10-11,56.7,
2021-10-12,43.8,
2021-10-13,20.2,
2021-10-14,14.6,
2021-10-15,15.1,
2021-10-16,18.3,
2021-10-17,18.9,
2021-10-18,24.6,
2021-10-19,28.4,
2021-10-20,17.6,
2021-10-21,33.1,
2021-10-22,17.7,
2021-10-23,13.0,
2021-10-24,22.1,
2021-10-25,37.6,
2021-10-26,36.9,
2021-10-27,32.1,
2021-10-28,31.8,
2021-10-29,45.6,
2021-10-30,55.9,
2021-10-31,35.9,
2021-11-01,33.9,
2021-11-02,50.4,
2021-11-03,35.2,
2021-11-04,31.2,
2021-11-05,10.5,
2021-11-06,16.1,
2021-11-07,16.7,
2021-11-08,16.4,
2021-11-09,21.0,
2021-11-10,39.2,
2021-11-11,42.5,
2021-11-12,51.4,
2021-11-13,39.7,
2021-11-14,62.8,
2021-11-15,27.7,
2021-11-16,50.5,
2021-11-17,49.0,
2021-11-18,29.0,
2021-11-19,9.3,
2021-11-20,13.3,
2021-11-21,17.3,
2021-11-22,26.6,
2021-11-23,18.2,
2021-11-24,22.3,
2021-11-25,36.0,
2021-11-26,35.7,
2021-11-27,22.3,
2021-11-28,36.7,
2021-11-29,11.6,
2021-11-30,12.2,
2021-12-01,17.6,
2021-12-02,11.9,
2021-12-03,15.5,
2021-12-04,31.6,
2021-12-05,36.5,
2021-12-06,35.7,
2021-12-07,25.5,
2021-12-08,16.7,
2021-12-09,23.7,
2021-12-10,28.3,
2021-12-11,62.4,
2021-12-12,40.8,
2021-12-13,40.5,
2021-12-14,43.0,
2021-12-15,43.8,
2021-12-16,20.9,
2021-12-17,13.0,
2021-12-18,15.2,
2021-12-19,7.3,
2021-12-20,7.2,
2021-12-21,17.9,
2021-12-22,37.5,
2021-12-23,44.6,
2021-12-24,26.5,
2021-12-25,17.7,
2021-12-26,38.2,
2021-12-27,43.2,
2021-12-28,24.6,
2021-12-29,33.8,
2021-12-30,59.4,
2021-12-31,22.9,
2022-01-01,8.0,
2022-01-02,18.3,
2022-01-03,12.7,
2022-01-04,19.5,
