category,minimum,maximum
1.11.2022,8,10.1
2.11.2022,9,15
3.11.2022,3,12
4.11.2022,3,11.7
5.11.2022,6,8.6
6.11.2022,-1,10.1
7.11.2022,-1,10.5
8.11.2022,7,14.9
9.11.2022,5,12
10.11.2022,5,10.4
11.11.2022,5,10
12.11.2022,8,9.4
13.11.2022,8,9
14.11.2022,6,8.4
15.11.2022,4,6.5
16.11.2022,2,5.8
17.11.2022,-2,2.9
18.11.2022,-4,-1.2
19.11.2022,-8,-3.1
20.11.2022,-9,-1.2
21.11.2022,-4,0.9
22.11.2022,-1,1
23.11.2022,-3,0.2
24.11.2022,-3,-1.4
25.11.2022,-3,-0.9
26.11.2022,-1,0.4
27.11.2022,-2,0.7
28.11.2022,0,1.3
29.11.2022,-1,1.1
30.11.2022,0,1.8
