category,minimum,maximum
1.6.2022,10,19.9
2.6.2022,8,19.3
3.6.2022,5,21.8
4.6.2022,9,22.3
5.6.2022,11,23.1
6.6.2022,8,25.6
7.6.2022,15,26.9
8.6.2022,15,23.9
9.6.2022,13,29.2
10.6.2022,14,26.2
11.6.2022,12,23.5
12.6.2022,9,25.4
13.6.2022,11,23.3
14.6.2022,9,18.2
15.6.2022,8,20.6
16.6.2022,8,23.8
17.6.2022,11,22.9
18.6.2022,10,25.7
19.6.2022,17,31.7
20.6.2022,17,29.8
21.6.2022,10,19
22.6.2022,11,22.7
23.6.2022,11,24.3
24.6.2022,10,27.2
25.6.2022,11,29.1
26.6.2022,13,29.6
27.6.2022,14,31
28.6.2022,17,32.7
29.6.2022,18,29.5
30.6.2022,18,33.8
