category,minimum,maximum
1.8.2022,14,24.3
2.8.2022,13,26
3.8.2022,12,27
4.8.2022,12,28.3
5.8.2022,13,30.8
6.8.2022,11,26.9
7.8.2022,8,22.2
8.8.2022,7,24.5
9.8.2022,11,24
10.8.2022,10,24.9
11.8.2022,9,24.8
12.8.2022,15,25.1
13.8.2022,16,27.2
14.8.2022,18,28
15.8.2022,17,27.1
16.8.2022,18,27.5
17.8.2022,16,26.3
18.8.2022,15,29.8
19.8.2022,16,30.2
20.8.2022,19,28.1
21.8.2022,15,23.7
22.8.2022,15,27.1
23.8.2022,17,30.1
24.8.2022,16,30.9
25.8.2022,15,31.7
26.8.2022,12,31
27.8.2022,14,30.2
28.8.2022,12,31
29.8.2022,15,23.2
30.8.2022,13,20.9
31.8.2022,10,22
