category,minimum,maximum
1.9.2022,6,20.3
2.9.2022,3,20.3
3.9.2022,3,21.3
4.9.2022,4,21.8
5.9.2022,4,20.1
6.9.2022,2,19
7.9.2022,0,19.7
8.9.2022,2,21.3
9.9.2022,11,16.8
10.9.2022,11,12.1
11.9.2022,9,10.9
12.9.2022,8,12.4
13.9.2022,6,17
14.9.2022,12,19.8
15.9.2022,11,19.9
16.9.2022,9,16.7
17.9.2022,7,14.3
18.9.2022,7,13.1
19.9.2022,8,11.2
20.9.2022,7,14.9
21.9.2022,7,13.5
22.9.2022,6,14.7
23.9.2022,6,14.3
24.9.2022,5,15.2
25.9.2022,1,16.8
26.9.2022,4,18.2
27.9.2022,7,14.8
28.9.2022,8,14.3
29.9.2022,2,11.3
30.9.2022,0,13
