category,minimum,maximum
1.5.2022,2,18.3
2.5.2022,3,18.4
3.5.2022,6,17.1
4.5.2022,7,15.6
5.5.2022,5,19.2
6.5.2022,7,19
7.5.2022,5,20.3
9.5.2022,2,16.5
10.5.2022,-1,19
11.5.2022,6,25.2
12.5.2022,16,24.6
13.5.2022,7,21.5
14.5.2022,8,17.5
15.5.2022,8,17.9
16.5.2022,6,18.3
17.5.2022,5,16.3
18.5.2022,1,17.2
19.5.2022,2,23.5
20.5.2022,9,27.1
21.5.2022,11,22.1
22.5.2022,9,14
23.5.2022,7,18.6
24.5.2022,4,21.3
25.5.2022,11,19.6
26.5.2022,9,20.6
27.5.2022,8,14.7
28.5.2022,5,14.1
29.5.2022,8,16.7
30.5.2022,7,14.5
31.5.2022,6,20.5
