category,minimum,maximum
1.6.2020,9,17.5
2.6.2020,6,18.2
3.6.2020,9,16.3
4.6.2020,9,17.6
5.6.2020,10,22.5
6.6.2020,13,24.5
7.6.2020,13,28
8.6.2020,14,25
9.6.2020,13,18.9
10.6.2020,15,25.3
11.6.2020,16,25.8
12.6.2020,15,29.7
13.6.2020,17,26.9
14.6.2020,12,19
15.6.2020,11,21.8
16.6.2020,13,22.9
17.6.2020,13,26.7
18.6.2020,15,27.3
19.6.2020,17,26
20.6.2020,16,26.8
21.6.2020,16,25.3
22.6.2020,17,23.6
23.6.2020,15,18
24.6.2020,16,22.9
25.6.2020,15,26.5
26.6.2020,13,27.8
27.6.2020,17,26.1
28.6.2020,15,28.6
29.6.2020,16,26.8
30.6.2020,15,23.4
