category,minimum,maximum
1.5.2020,6,16.2
2.5.2020,8,18.9
3.5.2020,5,14.8
4.5.2020,5,16.3
5.5.2020,3,12.9
6.5.2020,6,9.1
7.5.2020,3,15.5
8.5.2020,2,17.6
9.5.2020,4,19.8
10.5.2020,5,23
11.5.2020,8,25.7
12.5.2020,0,15.8
13.5.2020,3,13.4
14.5.2020,6,13.9
15.5.2020,2,15.2
16.5.2020,4,14.3
17.5.2020,5,17.2
18.5.2020,7,15.1
19.5.2020,7,15.5
20.5.2020,5,15.4
21.5.2020,1,13.5
22.5.2020,2,15.4
23.5.2020,1,18.4
24.5.2020,9,16.2
25.5.2020,7,15.6
26.5.2020,6,19.3
27.5.2020,8,20.4
28.5.2020,5,20.5
29.5.2020,10,17.2
30.5.2020,9,14.4
31.5.2020,10,19.1
