category,minimum,maximum
1.7.2020,14,25.8
2.7.2020,16,26.1
3.7.2020,16,24.7
4.7.2020,13,24.8
5.7.2020,15,27.7
6.7.2020,15,28.2
7.7.2020,10,19
8.7.2020,9,18.6
9.7.2020,10,20.7
10.7.2020,16,28.6
11.7.2020,12,23.7
12.7.2020,10,19.7
13.7.2020,9,18.8
14.7.2020,9,22.5
15.7.2020,10,24.1
16.7.2020,11,24.3
17.7.2020,14,22.5
18.7.2020,11,27.9
19.7.2020,13,27.4
20.7.2020,12,28.3
21.7.2020,12,23.1
22.7.2020,9,21.4
23.7.2020,9,20.1
24.7.2020,9,23.7
25.7.2020,12,26.3
26.7.2020,9,27.9
27.7.2020,12,24.9
28.7.2020,13,29
29.7.2020,12,26.4
30.7.2020,10,23.9
31.7.2020,9,21.9
