category,minimum,maximum
1.8.2020,11,24.1
2.8.2020,8,26
3.8.2020,14,27.4
4.8.2020,16,23.7
5.8.2020,14,22.3
6.8.2020,14,28.2
7.8.2020,14,30
8.8.2020,14,30.9
9.8.2020,15,30.9
10.8.2020,13,29.2
11.8.2020,12,28.3
12.8.2020,9,25.9
14.8.2020,8,27.2
15.8.2020,11,26.5
16.8.2020,8,27.6
17.8.2020,8,27.5
18.8.2020,16,25
19.8.2020,15,24
21.8.2020,12,29.7
22.8.2020,13,31.8
23.8.2020,18,24.9
24.8.2020,14,24.7
25.8.2020,11,22.5
26.8.2020,9,25.6
27.8.2020,14,19.6
28.8.2020,13,20.5
29.8.2020,14,18.8
30.8.2020,15,25.3
31.8.2020,12,21.5
