category,minimum,maximum
1.1.2020,-1,5.5
2.1.2020,-2,4.4
3.1.2020,-3,3.5
4.1.2020,0,4.3
5.1.2020,-4,2.7
6.1.2020,-4,0.5
7.1.2020,-3,2.1
8.1.2020,-3,4
9.1.2020,3,5.6
10.1.2020,3,7.6
11.1.2020,3,7.6
12.1.2020,2,4.5
13.1.2020,1,5.5
14.1.2020,1,6
15.1.2020,1,7.6
16.1.2020,-3,7.2
17.1.2020,-5,2
18.1.2020,0,2.5
19.1.2020,-2,3.3
20.1.2020,-2,2.9
21.1.2020,0,6.7
22.1.2020,1,5.4
23.1.2020,-1,3.1
24.1.2020,-1,3.6
25.1.2020,-1,1.3
26.1.2020,-2,0.9
27.1.2020,-2,2.5
28.1.2020,-2,3.1
29.1.2020,0,3.5
30.1.2020,1,4.1
31.1.2020,2,8
