category,minimum,maximum
1.12.2020,-4,1.3
2.12.2020,-5,-1.1
3.12.2020,-5,0.5
4.12.2020,0,3.6
5.12.2020,3,9.1
6.12.2020,1,7.1
7.12.2020,-3,2.2
8.12.2020,-3,-1.6
9.12.2020,-4,-1.4
10.12.2020,-3,0.5
11.12.2020,0,3.3
12.12.2020,0,3.3
13.12.2020,-1,0.2
14.12.2020,-1,0.2
15.12.2020,-1,2.2
16.12.2020,1,4
17.12.2020,3,4.4
18.12.2020,2,5.1
19.12.2020,1,5
20.12.2020,-1,2.1
21.12.2020,-1,2.1
22.12.2020,0,7.4
23.12.2020,1,8.7
24.12.2020,1,9.8
25.12.2020,1,6.3
26.12.2020,-1,2.1
27.12.2020,-4,1
28.12.2020,-2,5.8
29.12.2020,5,6.9
30.12.2020,3,5.5
31.12.2020,1,4.3
