category,minimum,maximum
1.3.2020,4,9.1
2.3.2020,1,6.9
3.3.2020,1,14
4.3.2020,3,11.8
5.3.2020,0,8.9
6.3.2020,-1,6.9
7.3.2020,4,10.9
8.3.2020,4,5.7
9.3.2020,0,7
10.3.2020,0,9.5
11.3.2020,5,11.3
12.3.2020,3,15.3
13.3.2020,2,9.6
14.3.2020,-5,4.6
15.3.2020,-8,5.2
16.3.2020,-2,11.8
17.3.2020,-1,12.2
18.3.2020,0,16.7
19.3.2020,5,13.2
20.3.2020,-1,10
21.3.2020,-4,6.5
22.3.2020,-6,3.2
23.3.2020,-7,4.1
24.3.2020,-9,5.2
25.3.2020,-9,7.6
26.3.2020,-4,11.3
27.3.2020,-3,15.2
28.3.2020,-2,17.3
29.3.2020,-1,15.8
30.3.2020,-4,4
31.3.2020,-7,5.8
