category,minimum,maximum
1.10.2020,12,15.4
2.10.2020,12,14.2
3.10.2020,13,22.1
4.10.2020,11,23.7
5.10.2020,8,20.7
6.10.2020,11,18.8
7.10.2020,7,17.6
11.10.2020,6,14
12.10.2020,3,8.6
13.10.2020,6,12.6
14.10.2020,7,12.8
15.10.2020,6,7.9
16.10.2020,5,9.3
17.10.2020,5,8.1
18.10.2020,5,8.4
19.10.2020,4,9.7
20.10.2020,2,11.7
21.10.2020,7,11.9
23.10.2020,10,13.8
24.10.2020,7,15.3
25.10.2020,4,14.5
26.10.2020,10,16.4
27.10.2020,11,16.7
28.10.2020,9,15.1
29.10.2020,9,14.4
30.10.2020,3,10.3
31.10.2020,0,8.1
