category,minimum,maximum
1.2.2020,5,10.7
2.2.2020,2,10.6
3.2.2020,0,5.9
4.2.2020,0,5.7
5.2.2020,-4,2.5
6.2.2020,-4,3.7
7.2.2020,-5,3.8
8.2.2020,-5,3.9
9.2.2020,-2,6.5
10.2.2020,2,8.4
11.2.2020,1,5.1
12.2.2020,1,3.9
13.2.2020,0,5.1
14.2.2020,0,1.5
15.2.2020,-2,1.2
16.2.2020,0,8.9
17.2.2020,6,14.2
18.2.2020,2,10.9
19.2.2020,1,8
20.2.2020,0,5.3
21.2.2020,0,2.5
22.2.2020,-1,9
23.2.2020,0,9.4
24.2.2020,0,6.8
25.2.2020,1,10.3
26.2.2020,2,8.4
27.2.2020,-2,4.9
28.2.2020,-3,5.2
29.2.2020,0,7.1
