category,minimum,maximum
1.8.2023,15,25.6
2.8.2023,16,25.2
3.8.2023,16,24.7
4.8.2023,14,25.4
5.8.2023,13,23.8
6.8.2023,16,30.9
7.8.2023,14,21.8
8.8.2023,13,19.8
9.8.2023,12,22.1
10.8.2023,11,21.3
11.8.2023,8,24.3
12.8.2023,8,25.3
13.8.2023,11,30.8
14.8.2023,17,29.9
15.8.2023,18,33.1
16.8.2023,14,33.1
17.8.2023,19,32.6
18.8.2023,18,30.7
19.8.2023,18,31.5
20.8.2023,17,31.1
21.8.2023,17,29.1
22.8.2023,13,25.5
23.8.2023,13,25.2
24.8.2023,12,26.8
25.8.2023,12,24.2
26.8.2023,18,31.3
27.8.2023,17,27.4
28.8.2023,18,23.1
29.8.2023,18,30.8
30.8.2023,17,23.5
31.8.2023,13,22
