category,minimum,maximum
1.4.2023,6,12.4
2.4.2023,3,8.4
3.4.2023,-1,4.9
4.4.2023,-4,2.5
5.4.2023,-4,2.2
6.4.2023,-1,5.4
7.4.2023,3,10.6
8.4.2023,-2,12.3
9.4.2023,6,14.6
10.4.2023,2,18.1
11.4.2023,2,15
12.4.2023,4,15.6
13.4.2023,1,15.7
14.4.2023,3,15
15.4.2023,6,10.8
16.4.2023,6,14.1
17.4.2023,4,13.1
18.4.2023,8,16.4
19.4.2023,7,15.4
20.4.2023,8,19.8
21.4.2023,4,18.6
22.4.2023,2,19.3
23.4.2023,3,20.5
24.4.2023,8,22.3
25.4.2023,6,16.6
26.4.2023,3,9
27.4.2023,0,10.5
28.4.2023,-2,12.7
29.4.2023,4,16.6
30.4.2023,2,14.9
