category,minimum,maximum
1.3.2023,-4,5.7
2.3.2023,-2,2.1
3.3.2023,-1,3.1
4.3.2023,-3,2.6
5.3.2023,-5,1.6
6.3.2023,-6,1.3
7.3.2023,-6,4.4
8.3.2023,-1,4.7
9.3.2023,-1,2
10.3.2023,-2,9.6
11.3.2023,-1,8.6
12.3.2023,-2,4.1
13.3.2023,-1,10.4
14.3.2023,7,15.9
15.3.2023,-1,10.8
16.3.2023,-3,7
17.3.2023,-5,8.1
18.3.2023,1,10.5
19.3.2023,2,14.9
20.3.2023,-1,16.5
21.3.2023,0,11
22.3.2023,-3,13.2
23.3.2023,8,19.3
24.3.2023,8,17.8
25.3.2023,7,16
26.3.2023,4,10.9
27.3.2023,-2,8
28.3.2023,-4,3.1
29.3.2023,-4,7
30.3.2023,2,11.5
31.3.2023,6,15.1
