category,minimum,maximum
1.1.2023,11,17.7
2.1.2023,8,13.1
3.1.2023,4,10.5
4.1.2023,-1,6.1
5.1.2023,1,8
6.1.2023,-2,5.4
7.1.2023,-2,1
8.1.2023,0,1.8
9.1.2023,1,6
10.1.2023,3,6
11.1.2023,2,4.5
12.1.2023,3,6.6
13.1.2023,3,6.3
14.1.2023,3,7.6
15.1.2023,2,5.1
16.1.2023,1,4.7
17.1.2023,2,4.8
18.1.2023,0,3.8
19.1.2023,0,2.1
21.1.2023,0,1.6
22.1.2023,0,1.3
23.1.2023,0,1.5
24.1.2023,1,2
25.1.2023,-1,1.4
26.1.2023,-2,0.3
27.1.2023,-2,0.3
28.1.2023,-2,-0.2
29.1.2023,-2,-0.1
30.1.2023,-1,1.2
31.1.2023,0,3.8
