category,Wiatr w m/s
1.2.2020,3.6
2.2.2020,5
3.2.2020,3.2
4.2.2020,2.3
5.2.2020,3.3
6.2.2020,3.9
7.2.2020,2.4
8.2.2020,2.2
9.2.2020,3.7
10.2.2020,6.3
11.2.2020,5
12.2.2020,5.4
13.2.2020,3.8
14.2.2020,2.2
15.2.2020,2.3
16.2.2020,4.8
17.2.2020,4.5
18.2.2020,3.8
19.2.2020,3.3
20.2.2020,2.7
21.2.2020,2.9
22.2.2020,4.5
23.2.2020,4.8
24.2.2020,4.6
25.2.2020,3.4
26.2.2020,2.3
27.2.2020,3.3
28.2.2020,2.5
29.2.2020,3.9
