category,Wiatr w m/s
1.5.2020,3.3
2.5.2020,2
3.5.2020,1.7
4.5.2020,1.8
5.5.2020,2.5
6.5.2020,4.9
7.5.2020,3.2
8.5.2020,1.8
9.5.2020,2.4
10.5.2020,2.5
11.5.2020,3.4
12.5.2020,4.7
13.5.2020,2.9
14.5.2020,1.7
15.5.2020,1.5
16.5.2020,3.5
17.5.2020,3.1
18.5.2020,3.5
19.5.2020,3
20.5.2020,2.3
21.5.2020,3.6
22.5.2020,2.7
23.5.2020,1.4
24.5.2020,2.7
25.5.2020,1.7
26.5.2020,2.7
27.5.2020,2.6
28.5.2020,2.2
29.5.2020,4.4
30.5.2020,4.9
31.5.2020,3.5
