category,Opady w mm
1.6.2023,0
2.6.2023,0
3.6.2023,0
4.6.2023,0
5.6.2023,0
6.6.2023,0
7.6.2023,2
8.6.2023,0
9.6.2023,2
10.6.2023,0
11.6.2023,0
12.6.2023,0
13.6.2023,0.5
14.6.2023,3.6
15.6.2023,0.3
16.6.2023,0
17.6.2023,25.2
18.6.2023,0.3
19.6.2023,5.1
20.6.2023,0
21.6.2023,0
22.6.2023,0
23.6.2023,0.3
24.6.2023,0.3
25.6.2023,0
26.6.2023,0
27.6.2023,1.5
28.6.2023,8.6
29.6.2023,1.3
30.6.2023,2.3
