category,Opady w mm
1.1.2020,1.5
2.1.2020,0
3.1.2020,0
4.1.2020,0.3
5.1.2020,2.5
6.1.2020,0
7.1.2020,0
8.1.2020,0
9.1.2020,1.3
10.1.2020,4.8
11.1.2020,0.8
12.1.2020,0
13.1.2020,0
14.1.2020,0.8
15.1.2020,0
16.1.2020,0
17.1.2020,0
18.1.2020,0
19.1.2020,0.8
20.1.2020,0
21.1.2020,0
22.1.2020,0
23.1.2020,0
24.1.2020,0
25.1.2020,0
26.1.2020,0
27.1.2020,0
28.1.2020,0
29.1.2020,0
30.1.2020,4.6
31.1.2020,3.6
