category,minimum,maximum
1.6.2021,4,19.1
2.6.2021,7,20.1
3.6.2021,9,22.6
4.6.2021,8,24.3
5.6.2021,12,22.3
6.6.2021,10,24.3
7.6.2021,10,24.5
8.6.2021,10,26.2
9.6.2021,12,24
10.6.2021,13,24.1
11.6.2021,12,23.3
12.6.2021,11,24.1
13.6.2021,11,18.3
14.6.2021,9,21.2
15.6.2021,7,23.5
16.6.2021,10,23.8
17.6.2021,7,25.5
18.6.2021,11,28.5
19.6.2021,13,29.6
20.6.2021,15,29.5
21.6.2021,17,29.6
22.6.2021,19,31.1
23.6.2021,18,31
24.6.2021,16,29.6
26.6.2021,16,23.2
27.6.2021,13,24.2
28.6.2021,12,26
29.6.2021,12,28.2
30.6.2021,13,28.4
