category,minimum,maximum
1.7.2021,16,23.4
2.7.2021,16,21.6
3.7.2021,17,24.2
4.7.2021,17,22.3
5.7.2021,17,25.7
6.7.2021,15,28.4
7.7.2021,15,30.7
8.7.2021,21,31.6
9.7.2021,19,32.4
10.7.2021,13,24.2
11.7.2021,11,27.9
12.7.2021,17,31.7
13.7.2021,16,29.7
14.7.2021,18,33.9
15.7.2021,20,31.6
16.7.2021,19,29.6
17.7.2021,18,31.1
18.7.2021,17,29.3
19.7.2021,12,25
20.7.2021,11,25.9
21.7.2021,15,24.6
22.7.2021,13,24.9
23.7.2021,14,24.7
24.7.2021,12,26.4
25.7.2021,14,30.4
26.7.2021,17,28.1
27.7.2021,16,28.4
28.7.2021,17,30.9
29.7.2021,18,27
30.7.2021,15,26.7
31.7.2021,12,28.3
