category,minimum,maximum
1.12.2021,-2,3.2
2.12.2021,0,6.7
3.12.2021,-1,2.6
4.12.2021,-3,1.4
5.12.2021,-5,0.3
6.12.2021,-3,-0.3
7.12.2021,-7,-1.9
8.12.2021,-8,-4.6
9.12.2021,-6,-2.2
10.12.2021,-3,0.8
11.12.2021,0,1.6
12.12.2021,-2,0.6
13.12.2021,-4,-1.7
14.12.2021,-5,-0.4
15.12.2021,-2,4
16.12.2021,3,6.7
17.12.2021,3,5.5
18.12.2021,2,3.5
19.12.2021,0,5
20.12.2021,-6,1.1
21.12.2021,-9,-3.6
22.12.2021,-10,-3.5
23.12.2021,-10,-2.7
24.12.2021,-4,0.3
25.12.2021,-10,0.2
26.12.2021,-13,-5.6
27.12.2021,-15,-7.7
28.12.2021,-11,-3.9
29.12.2021,-7,-3.2
30.12.2021,-4,4
31.12.2021,3,10.5
