category,minimum,maximum
2.1.2021,-1,2.3
3.1.2021,-1,2.5
4.1.2021,0,4.1
5.1.2021,1,4.6
6.1.2021,0,3
7.1.2021,0,3.3
8.1.2021,-1,1.1
9.1.2021,-1,0.2
10.1.2021,-2,-0.1
11.1.2021,-3,0.8
12.1.2021,-5,0.6
13.1.2021,-2,0.7
14.1.2021,-7,-1.2
15.1.2021,-13,-4.7
16.1.2021,-14,-3.9
17.1.2021,-22,-7.3
18.1.2021,-24,-11.9
19.1.2021,-20,-5.6
20.1.2021,-7,2
21.1.2021,0,6.1
22.1.2021,-2,7.6
23.1.2021,0,6.5
24.1.2021,1,5.5
25.1.2021,-1,1.3
26.1.2021,-1,0.5
27.1.2021,-1,0.5
28.1.2021,-2,1.1
30.1.2021,-4,-1.7
31.1.2021,-11,-1.7
