category,minimum,maximum
1.3.2021,2,3.9
2.3.2021,1,9.5
3.3.2021,-1,4.9
4.3.2021,-2,5.7
5.3.2021,-3,3.5
6.3.2021,-4,3.5
7.3.2021,-1,2.9
8.3.2021,-4,1.6
9.3.2021,-7,1.1
10.3.2021,-9,2.1
11.3.2021,-7,2.1
12.3.2021,0,7.4
13.3.2021,1,9
14.3.2021,3,10.5
15.3.2021,0,8.5
16.3.2021,-3,9.8
17.3.2021,-2,4.3
18.3.2021,-4,2.7
19.3.2021,-3,2.6
20.3.2021,-4,0.3
21.3.2021,-4,0.5
22.3.2021,-5,5.1
23.3.2021,1,6.3
24.3.2021,-3,7.1
25.3.2021,1,8.1
26.3.2021,-2,12.7
27.3.2021,2,16.2
28.3.2021,-1,10.7
29.3.2021,-2,10.4
30.3.2021,8,12.4
31.3.2021,6,20.2
