category,minimum,maximum
1.9.2021,11,19.1
2.9.2021,8,17.3
3.9.2021,6,21.4
4.9.2021,4,16.4
5.9.2021,2,15.8
6.9.2021,1,17.4
7.9.2021,5,19.9
8.9.2021,4,23.5
9.9.2021,8,24.7
10.9.2021,7,25.7
11.9.2021,7,25.4
12.9.2021,10,24.9
13.9.2021,12,22.1
14.9.2021,10,19.3
15.9.2021,9,22.3
16.9.2021,11,21.1
17.9.2021,14,18.3
18.9.2021,6,14.4
19.9.2021,6,7.6
20.9.2021,5,7.4
21.9.2021,4,11.6
22.9.2021,5,11.9
23.9.2021,7,14.7
24.9.2021,9,15.8
25.9.2021,9,17.5
26.9.2021,6,18.1
27.9.2021,3,16.6
28.9.2021,4,15.4
29.9.2021,6,15.8
30.9.2021,8,11.9
