category,minimum,maximum
1.5.2021,1,12.8
2.5.2021,3,14.5
3.5.2021,3,9.1
4.5.2021,2,15
5.5.2021,8,16.9
6.5.2021,5,13.6
7.5.2021,4,9.8
8.5.2021,2,11
9.5.2021,-1,19
10.5.2021,8,23.6
11.5.2021,13,25.5
12.5.2021,12,25.5
13.5.2021,5,20.1
14.5.2021,7,19.1
16.5.2021,9,20.7
17.5.2021,9,19.7
18.5.2021,8,20.2
19.5.2021,8,13.9
20.5.2021,6,17.1
21.5.2021,6,18.8
22.5.2021,8,17.7
23.5.2021,7,19
24.5.2021,6,18.8
25.5.2021,10,17.5
26.5.2021,8,18.6
27.5.2021,8,19
28.5.2021,7,18.6
29.5.2021,9,14.9
30.5.2021,8,17.3
31.5.2021,5,17.4
