category,minimum,maximum
1.4.2021,3,21
2.4.2021,0,11.6
3.4.2021,1,9.3
4.4.2021,1,6.9
5.4.2021,0,12.7
6.4.2021,-1,7.7
7.4.2021,-3,4.6
8.4.2021,-2,7.2
9.4.2021,-1,10.8
10.4.2021,4,16.7
11.4.2021,7,19.4
12.4.2021,6,18.4
13.4.2021,3,14.6
14.4.2021,1,3.5
15.4.2021,1,6.5
16.4.2021,5,6.5
17.4.2021,5,12.1
18.4.2021,2,14.3
19.4.2021,3,16.4
20.4.2021,2,16
21.4.2021,6,16.2
22.4.2021,3,11.5
23.4.2021,1,9.4
24.4.2021,0,10.3
25.4.2021,-1,8.5
26.4.2021,-3,7.2
27.4.2021,-4,8.7
28.4.2021,-3,14
29.4.2021,3,17.1
30.4.2021,3,17.9
