category,Wiatr w m/s
2.1.2021,1.8
3.1.2021,2.2
4.1.2021,2.6
5.1.2021,3.8
6.1.2021,2.7
7.1.2021,2.3
8.1.2021,2.1
9.1.2021,2.6
10.1.2021,1.6
11.1.2021,2.6
12.1.2021,3.3
13.1.2021,2.8
14.1.2021,2.7
15.1.2021,2.7
16.1.2021,3.2
17.1.2021,1.8
18.1.2021,1.2
19.1.2021,2.7
20.1.2021,3
21.1.2021,3.2
22.1.2021,2.6
23.1.2021,2.7
24.1.2021,2.1
25.1.2021,2.8
26.1.2021,5.6
27.1.2021,3.4
28.1.2021,2.5
30.1.2021,2.1
31.1.2021,2.8
