category,Wiatr w m/s
1.6.2021,1.1
2.6.2021,1.8
3.6.2021,1.4
4.6.2021,1.4
5.6.2021,1.5
6.6.2021,2.1
7.6.2021,2.1
8.6.2021,2
9.6.2021,1.9
10.6.2021,2.4
11.6.2021,1.9
12.6.2021,2.4
13.6.2021,4.5
14.6.2021,2.7
15.6.2021,1.7
16.6.2021,1.7
17.6.2021,1.9
18.6.2021,2.2
19.6.2021,2.1
20.6.2021,2.5
21.6.2021,2.4
22.6.2021,2.9
23.6.2021,1.5
24.6.2021,2.1
26.6.2021,2.1
27.6.2021,1.9
28.6.2021,2.1
29.6.2021,1.8
30.6.2021,1.7
