category,Wiatr w m/s
1.8.2021,1.4
2.8.2021,3.6
3.8.2021,2.5
4.8.2021,1.5
5.8.2021,1.6
6.8.2021,2.8
7.8.2021,3.4
8.8.2021,2.7
9.8.2021,2.2
10.8.2021,2
11.8.2021,2.4
12.8.2021,2.9
13.8.2021,1.6
14.8.2021,2.1
15.8.2021,2
16.8.2021,2.1
17.8.2021,3.2
18.8.2021,2.9
19.8.2021,2.8
20.8.2021,2.1
21.8.2021,2.1
22.8.2021,1.3
23.8.2021,1.9
24.8.2021,2.8
25.8.2021,2.4
26.8.2021,2.7
27.8.2021,1.3
28.8.2021,2.1
29.8.2021,1.2
30.8.2021,1.3
31.8.2021,1.4
